Date,AAPL,AMZN,JPM,TSLA,weekday
2010-07-01,-0.012200138861091487,0.015439420417627176,-0.013215809057059366,-0.08172291550447511,3
2010-07-02,-0.006216653842618277,-0.016538329352710383,-0.006953065263233771,-0.13431235083949972,4
2010-07-06,0.006820406657864973,0.008394210905646397,0.013858277752941356,-0.17547005860514583,1
2010-07-07,0.039586924185396145,0.030160310772762898,0.04888157588054188,-0.019430532678024044,2
2010-07-08,-0.0022447016816162834,0.024298981435479244,0.0002621124152359811,0.09990291450771378,3
2010-07-09,0.005910658176828707,0.008908752894736641,0.017920565447577492,-0.003442402460710787,4
2010-07-12,-0.009014714019125408,0.01900639053169125,0.008713061886954447,-0.02031966887617015,0
2010-07-13,-0.021568949054813946,0.03405490770326602,0.03238678950547701,0.061968613319029066,1
2010-07-14,0.003686250492344731,-0.0028345714743345345,-0.003216776248391621,0.08958123400877288,2
2010-07-15,-0.005077418548170439,-0.010107649989011534,0.00272253868630714,0.002516718268925495,3
2010-07-16,-0.006183474566383899,-0.029684187096625847,-0.03675251315880942,0.03701390040776307,4
2010-07-19,-0.017437766972401614,0.012163087101122716,0.0010252815111679294,0.05971241690769228,0
2010-07-20,0.025369321835085293,0.0013330941454267086,0.014999674185760922,-0.07632275442299001,1
2010-07-21,0.009286599586615181,-0.02248233416776402,-0.031008528066222854,-0.003948386677901586,2
2010-07-22,0.018626681855549033,0.02223248952519915,0.02391796929484592,0.03785017031257625,3
2010-07-23,0.0035449550327416013,-0.010044437448350613,0.012124637983134116,0.013714810050456133,4
2010-07-26,-0.0025418333472990813,-0.003961730715231155,0.012475109195390055,-0.016098343112193245,0
2010-07-27,0.0183436586537661,-0.010784280852523571,0.008886981299634316,-0.01927794320898038,1
2010-07-28,-0.011885502594845148,0.0,-0.009134774203229798,0.008238226955451972,2
2010-07-29,-0.010980519428161492,-0.002307828457307055,-0.0027320764416041473,-0.018017982994436584,3
2010-07-30,-0.003337595170734556,0.008775322741065532,0.0017394314894574993,-0.020353713922124282,4
2010-08-02,0.017723623399523047,0.01832295473234685,0.03320599170590134,0.04797842480726451,0
2010-08-03,0.0003050258336128722,0.01938282138442452,-0.013539540759477935,0.04806101975573991,1
2010-08-04,0.004000625241642786,0.041285923230830995,0.005098712416642768,-0.03193977645512355,2
2010-08-05,-0.004879461204759142,0.001957607466857797,-0.0004846095365274573,-0.03884451423850342,3
2010-08-06,-0.006170204711104065,0.003825871292871556,-0.020316514026410507,-0.04296340075597828,4
2010-08-09,0.006361977897631454,0.0039666079455817115,-0.015450049434261617,0.0005105709978198497,0
2010-08-10,-0.008980628379177057,0.009040715634037862,-0.016457877904278943,-0.02951286819703122,1
